تخمین قیمت,قیمت روز خودرو کارکرده,3,1.0,3,1.0,88,1.9,291,1.9,635,2,450,2,335,2.1,333,2.6,283,3.1,309,3.2,288,3,354,3.1,226,3.1,255,3.3,236,3.2
تخمین قیمت,تخمین قیمت خودرو کارکرده,20,1.1,23,1.0,914,1,"3,002",1.1,"5,592",1.1,"3,812",1.5,"3,012",2.4,"2,781",2.5,"2,378",2.6,"2,857",2.6,"3,244",2.4,"2,738",2.6,"2,222",2.7,"2,863",2.7,"2,490",2.7
,Total / Weighted Average,"1,174",3.12,"1,791",2.93,"98,618",3.06,"275,915",4.05,"745,230",4.91,"635,356",3.39,"342,901",3.90,"323,424",4.43,"338,978",4.83,"337,889",5.36,"297,858",5.79,"601,531",6.35,"328,449",6.10,"357,638",6.27,"262,742",6.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"W02
[01/08-01/14]",,"W03
[01/15-01/21]",,"W04
[01/22-01/28]",,"W05
[01/29-02/04]",,"W06
[02/05-02/11]",,"W07
[02/12-02/18]",,"W08
[02/19-02/25]",,"W09
[02/26-03/01]",,"W10
[03/02-03/08]",,"W11
[03/09-03/15]",,"W12
[03/16-03/22]",,"W13
[03/23-03/29]",,"W14
[03/30-04/05]",,"W15
[04/06-04/12]",,"W16
[04/13-04/19]",
Category,Category Keyword,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po
قیمت ,قیمت محصولات ایران خودرو,27,3.5,34,2.8,"4,427",3.5,"2,192",7.4,"21,975",4.8,"25,741",4,"13,290",3,"14,188",4.3,"10,053",7.2,"5,791",6.8,"5,039",6.9,"2,839",6.2,462,6.3,167,6.4,266,6.6
قیمت ,قیمت محصولات ایران خودرو کارخانه و بازار,19,1.8,34,1.5,"9,472",1.1,"9,970",2.1,"13,851",3.4,"20,662",2.2,"10,827",1.0,"7,297",1,"6,968",1,"6,744",3,"5,323",4.3,"1,644",6.1,"1,033",7.4,171,7.1,242,6.1
قیمت ,قیمت بازار محصولات ایران خودرو,0,0.0,8,3.1,246,1.1,736,2.3,"1,425",3.2,"2,434",1.6,"1,653",2.8,"1,388",2.2,"1,266",2.4,"1,349",2.9,927,2.5,"3,329",3.2,"4,249",4.5,"1,289",3.4,947,2.8
قیمت ,قیمت روز محصولات ایران خودرو,2,3.0,5,2.2,418,2.5,"1,485",3.5,"3,827",3.6,"3,088",2.4,"1,565",2.4,"1,641",3,"1,648",3,"1,969",3,"1,679",3,"4,071",3.2,"2,609",3.4,"2,195",3.8,"1,488",3.2
قیمت ,قیمت جدید محصولات ایران خودرو,2,3.5,0,0.0,112,5.2,0,0,528,5.3,980,5,129,6,543,3.8,10,8.3,32,7.3,34,9,51,7.8,0,0,0,0,3,5
قیمت ,قیمت محصولات سایپا,4,3.8,16,3.0,"3,657",1.9,"8,240",4.7,"15,212",5.4,"22,305",3.1,"11,695",3.0,"9,692",3,"8,031",3,"6,550",2,"5,059",2,"9,703",2.3,"7,455",2.4,"6,247",2.8,"5,806",2.4
قیمت ,قیمت محصولات سایپا کارخانه و بازار,2,1.0,13,3.1,"3,592",1.1,"6,458",1.3,"6,087",2,"6,557",2,"5,111",2,"3,117",1.7,"3,253",1.4,"2,768",1.2,"2,493",1.2,"5,095",1.2,"3,215",1.2,"3,322",1.2,"2,756",1.2
قیمت ,قیمت روز محصولات سایپا,0,0.0,0,0.0,210,1.1,749,1.4,"1,954",3.6,"1,589",1.8,"1,015",1.8,863,2,830,1,739,1,637,1.3,"1,159",1.3,724,1.3,787,1.5,613,1.5
قیمت ,قیمت بازار محصولات سایپا,0,0.0,3,3.7,263,1.1,643,1.1,"1,259",1.5,"1,038",1.6,799,1.9,481,1.9,578,1.3,461,1.1,348,1.1,577,1.1,464,1.2,519,1.4,347,1.4
قیمت ,قیمت جدید محصولات سایپا,0,0.0,2,18.0,187,2.1,324,7.1,264,8.4,466,7.1,409,4.9,252,7.3,265,6.4,301,5.6,268,5.3,"1,013",6.7,"1,047",6.8,550,6.6,877,6.5
